country,birth_rate,death_rate,life_exp_at_birth,country_code,gdp_per_capita,country_original,continent,country_id
Laos,24.76,7.74,63.51,LAO,6193.340326,Laos,ASIA,418
Guyana,15.9,7.3,67.81,GUY,11244.44524,Guyana,SOUTH AMERICA,328
Belarus,10.86,13.51,72.15,BLR,19066.88682,Belarus,EUROPE,112
Kyrgyzstan,23.33,6.74,70.06,KGZ,4722.086002,Kyrgyzstan,ASIA,417
Senegal,35.09,8.65,60.95,SEN,2868.315877,Senegal,AFRICA,686
Syria,22.76,6.51,68.41,SYR,1071.23,Syria,ASIA,760
Cambodia,24.4,7.78,63.78,KHM,3364.278069,Cambodia,ASIA,116
Uruguay,13.18,9.48,76.81,URY,22419.04375,Uruguay,SOUTH AMERICA,858
Suriname,16.73,6.13,71.69,SUR,20210.99618,Suriname,SOUTH AMERICA,740
Tunisia,16.9,5.94,75.68,TUN,10498.84967,Tunisia,AFRICA,788
Nepal,21.07,6.62,67.19,NPL,3217.44851,Nepal,ASIA,524
Bangladesh,21.61,5.64,70.65,BGD,3511.645506,Bangladesh,ASIA,50
Tajikistan,24.99,6.28,67.06,TJK,2884.200225,Tajikistan,ASIA,762
Greece,8.8,11.0,80.3,GRC,28178.69021,Greece,EUROPE,300
Nicaragua,18.41,5.07,72.72,NIC,5443.278082,Nicaragua,NORTH AMERICA,558
"Korea, North",14.51,9.18,69.81,PRK,692.0,North Korea,ASIA,408
Malawi,41.8,8.74,59.99,MWI,1432.055122,Malawi,AFRICA,454
Eritrea,30.69,7.65,63.51,ERI,786.54,Eritrea,AFRICA,232
Benin,36.51,8.39,61.07,BEN,2975.854782,Benin,AFRICA,204
Honduras,23.66,5.13,70.91,HND,5177.415197,Honduras,NORTH AMERICA,340
Liberia,35.07,9.9,58.21,LBR,1621.344665,Liberia,AFRICA,430
Bulgaria,8.92,14.3,74.33,BGR,18747.37005,Bulgaria,EUROPE,100
Cuba,9.9,7.64,78.22,CUB,7117.54,Cuba,NORTH AMERICA,192
Guatemala,25.46,4.82,71.74,GTM,7939.374378,Guatemala,NORTH AMERICA,320
Iceland,13.09,7.13,81.22,ISL,50450.74161,Iceland,EUROPE,352
"Korea, South",8.26,6.63,79.8,KOR,37967.47562,South Korea,ASIA,410
Hungary,9.26,12.72,75.46,HUN,26424.7204,Hungary,EUROPE,348
Portugal,9.42,10.97,79.01,PRT,30444.60021,Portugal,EUROPE,620
Jordan,25.23,3.8,74.1,JOR,10284.6701,Jordan,ASIA,400
Azerbaijan,16.96,7.09,71.91,AZE,14875.78164,Azerbaijan,EUROPE,31
Austria,8.76,10.38,80.17,AUT,52857.05632,Austria,EUROPE,40
United Arab Emirates,15.54,1.99,77.09,ARE,62378.61005,United Arab Emirates,ASIA,784
Czech Republic,9.79,10.29,78.31,CZE,34386.70491,Czechia,EUROPE,203
Serbia,9.13,13.71,75.02,SRB,15226.32017,Serbia,EUROPE,688
Panama,18.61,4.77,78.3,PAN,27352.51939,Panama,NORTH AMERICA,591
Sierra Leone,37.4,11.03,57.39,SLE,1997.509291,Sierra Leone,AFRICA,694
Ireland,15.18,6.45,80.56,IRL,58267.41227,Ireland,EUROPE,372
Georgia,12.93,10.77,75.72,GEO,12254.64565,Georgia,EUROPE,268
Sri Lanka,16.24,6.06,76.35,LKA,11428.1079,Sri Lanka,ASIA,144
Lithuania,9.36,11.55,75.98,LTU,29855.83149,Lithuania,EUROPE,440
Latvia,9.79,13.6,73.44,LVA,25387.00765,Latvia,EUROPE,428
Togo,34.52,7.43,64.06,TGO,1863.281894,Togo,AFRICA,768
Croatia,9.49,12.13,76.41,HRV,23782.50246,Croatia,EUROPE,191
Bosnia and Herzegovina,8.89,9.64,76.33,BIH,12066.58706,Bosnia and Herz.,EUROPE,70
Costa Rica,16.08,4.49,78.23,CRI,18669.09668,Costa Rica,NORTH AMERICA,188
Slovakia,10.01,9.7,76.69,SVK,27384.97181,Slovakia,EUROPE,703
Dominican Republic,18.97,4.5,77.8,DOM,14499.63041,Dominican Rep.,NORTH AMERICA,214
Estonia,10.29,13.69,74.07,EST,30602.59549,Estonia,EUROPE,233
Denmark,10.22,10.23,79.09,DNK,52048.33549,Denmark,EUROPE,208
Netherlands,10.83,8.57,81.12,NLD,52186.99739,Netherlands,EUROPE,528
Switzerland,10.48,8.1,82.39,CHE,67682.68618,Switzerland,EUROPE,756
Bhutan,18.12,6.78,68.98,BTN,9574.029004,Bhutan,ASIA,64
