country,birth_rate,death_rate,life_exp_at_birth,country_code,gdp_per_capita,country_original,continent
Ghana,31.4,7.37,65.75,GHA,4670.244898,Ghana,AFRICA
Romania,9.27,11.88,74.69,ROU,23084.37478,Romania,EUROPE
Laos,24.76,7.74,63.51,LAO,6193.340326,Laos,ASIA
Guyana,15.9,7.3,67.81,GUY,11244.44524,Guyana,SOUTH AMERICA
Belarus,10.86,13.51,72.15,BLR,19066.88682,Belarus,EUROPE
Kyrgyzstan,23.33,6.74,70.06,KGZ,4722.086002,Kyrgyzstan,ASIA
Senegal,35.09,8.65,60.95,SEN,2868.315877,Senegal,AFRICA
Syria,22.76,6.51,68.41,SYR,1071.23,Syria,ASIA
Cambodia,24.4,7.78,63.78,KHM,3364.278069,Cambodia,ASIA
Uruguay,13.18,9.48,76.81,URY,22419.04375,Uruguay,SOUTH AMERICA
Suriname,16.73,6.13,71.69,SUR,20210.99618,Suriname,SOUTH AMERICA
Tunisia,16.9,5.94,75.68,TUN,10498.84967,Tunisia,AFRICA
Nepal,21.07,6.62,67.19,NPL,3217.44851,Nepal,ASIA
Bangladesh,21.61,5.64,70.65,BGD,3511.645506,Bangladesh,ASIA
Tajikistan,24.99,6.28,67.06,TJK,2884.200225,Tajikistan,ASIA
Greece,8.8,11,80.3,GRC,28178.69021,Greece,EUROPE
Nicaragua,18.41,5.07,72.72,NIC,5443.278082,Nicaragua,NORTH AMERICA
"Korea, North",14.51,9.18,69.81,PRK,692,North Korea,ASIA
Malawi,41.8,8.74,59.99,MWI,1432.055122,Malawi,AFRICA
Eritrea,30.69,7.65,63.51,ERI,786.54,Eritrea,AFRICA
Benin,36.51,8.39,61.07,BEN,2975.854782,Benin,AFRICA
Honduras,23.66,5.13,70.91,HND,5177.415197,Honduras,NORTH AMERICA
Liberia,35.07,9.9,58.21,LBR,1621.344665,Liberia,AFRICA
Bulgaria,8.92,14.3,74.33,BGR,18747.37005,Bulgaria,EUROPE
Cuba,9.9,7.64,78.22,CUB,7117.54,Cuba,NORTH AMERICA
Guatemala,25.46,4.82,71.74,GTM,7939.374378,Guatemala,NORTH AMERICA
Iceland,13.09,7.13,81.22,ISL,50450.74161,Iceland,EUROPE
"Korea, South",8.26,6.63,79.8,KOR,37967.47562,South Korea,ASIA
Hungary,9.26,12.72,75.46,HUN,26424.7204,Hungary,EUROPE
Portugal,9.42,10.97,79.01,PRT,30444.60021,Portugal,EUROPE
Jordan,25.23,3.8,74.1,JOR,10284.6701,Jordan,ASIA
Azerbaijan,16.96,7.09,71.91,AZE,14875.78164,Azerbaijan,EUROPE
Austria,8.76,10.38,80.17,AUT,52857.05632,Austria,EUROPE
United Arab Emirates,15.54,1.99,77.09,ARE,62378.61005,United Arab Emirates,ASIA
Czech Republic,9.79,10.29,78.31,CZE,34386.70491,Czechia,EUROPE
Serbia,9.13,13.71,75.02,SRB,15226.32017,Serbia,EUROPE
Panama,18.61,4.77,78.3,PAN,27352.51939,Panama,NORTH AMERICA
Sierra Leone,37.4,11.03,57.39,SLE,1997.509291,Sierra Leone,AFRICA
Ireland,15.18,6.45,80.56,IRL,58267.41227,Ireland,EUROPE
Georgia,12.93,10.77,75.72,GEO,12254.64565,Georgia,EUROPE
Sri Lanka,16.24,6.06,76.35,LKA,11428.1079,Sri Lanka,ASIA
Lithuania,9.36,11.55,75.98,LTU,29855.83149,Lithuania,EUROPE
Latvia,9.79,13.6,73.44,LVA,25387.00765,Latvia,EUROPE
Togo,34.52,7.43,64.06,TGO,1863.281894,Togo,AFRICA
Croatia,9.49,12.13,76.41,HRV,23782.50246,Croatia,EUROPE
Bosnia and Herzegovina,8.89,9.64,76.33,BIH,12066.58706,Bosnia and Herz.,EUROPE
Costa Rica,16.08,4.49,78.23,CRI,18669.09668,Costa Rica,NORTH AMERICA
Slovakia,10.01,9.7,76.69,SVK,27384.97181,Slovakia,EUROPE
Dominican Republic,18.97,4.5,77.8,DOM,14499.63041,Dominican Rep.,NORTH AMERICA
Estonia,10.29,13.69,74.07,EST,30602.59549,Estonia,EUROPE
Denmark,10.22,10.23,79.09,DNK,52048.33549,Denmark,EUROPE
Netherlands,10.83,8.57,81.12,NLD,52186.99739,Netherlands,EUROPE
Switzerland,10.48,8.1,82.39,CHE,67682.68618,Switzerland,EUROPE
Bhutan,18.12,6.78,68.98,BTN,9574.029004,Bhutan,ASIA
Guinea-Bissau,33.83,14.54,49.87,GNB,1740.896737,Guinea-Bissau,AFRICA
Taiwan,8.55,6.97,79.84,TWN,22469,Taiwan Province of China,ASIA
Moldova,12.21,12.6,70.12,MDA,10314.40965,Moldova,EUROPE
Belgium,9.99,10.76,79.92,BEL,48747.67705,Belgium,EUROPE
Lesotho,25.92,14.91,52.65,LSO,2639.445825,Lesotho,AFRICA
Armenia,13.92,9.3,74.12,ARM,11019.83878,Armenia,EUROPE
Solomon Islands,26.33,3.86,74.89,SLB,2551.401066,Solomon Is.,OCEANIA
Albania,12.73,6.47,77.96,ALB,11586.86377,Albania,EUROPE
Equatorial Guinea,33.83,8.39,63.49,GNQ,32436.5535,Eq. Guinea,AFRICA
Burundi,42.33,9.54,59.55,BDI,886.2354167,Burundi,AFRICA
Haiti,22.83,7.91,63.18,HTI,2935.219925,Haiti,NORTH AMERICA
Rwanda,34.61,9.18,59.26,RWA,1780.144976,Rwanda,AFRICA
Macedonia,11.64,9.04,75.8,MKD,14524.1947,Macedonia,EUROPE
Djibouti,24.08,7.84,62.4,DJI,4238.944355,Djibouti,AFRICA
Belize,25.14,5.95,68.49,BLZ,7323.144701,Belize,NORTH AMERICA
El Salvador,16.79,5.67,74.18,SLV,7990.459574,El Salvador,NORTH AMERICA
Israel,18.44,5.54,81.28,ISR,37474.84918,Israel,ASIA
Slovenia,8.54,11.25,77.83,SVN,33098.94416,Slovenia,EUROPE
New Caledonia,15.57,5.45,77.31,NCL,38120,New Caledonia,OCEANIA
Fiji,19.86,6,72.15,FJI,12057.98713,Fiji,OCEANIA
Kuwait,20.26,2.16,77.64,KWT,56647.43742,Kuwait,ASIA
Swaziland,25.18,13.75,50.54,SWZ,8192.527953,eSwatini,AFRICA
Timor-Leste,34.48,6.18,67.39,TLS,3264.56251,Timor-Leste,ASIA
"Bahamas, The",15.65,7,71.93,BHS,35659.93113,Bahamas,NORTH AMERICA
Montenegro,10.59,9.3,74.24,MNE,17674.61841,Montenegro,EUROPE
Puerto Rico,10.9,8.51,79.09,PRI,34070.25359,Puerto Rico,NORTH AMERICA
Vanuatu,25.69,4.14,72.72,VUT,2984.605124,Vanuatu,OCEANIA
Qatar,9.95,1.53,78.38,QAT,95578.26151,Qatar,ASIA
"Gambia, The",31.75,7.26,64.36,GMB,2038.802518,Gambia,AFRICA
Jamaica,18.41,6.67,73.48,JAM,9438.476912,Jamaica,NORTH AMERICA
Lebanon,14.8,4.95,77.22,LBN,16970.43617,Lebanon,ASIA
Cyprus,11.44,6.57,78.34,CYP,33207.77071,Cyprus,ASIA
West Bank,23.41,3.51,75.69,PSE,5967.073437,Palestine,ASIA
Brunei,17.49,3.47,76.77,BRN,64190.82415,Brunei,ASIA
Trinidad and Tobago,13.8,8.48,72.29,TTO,28796.55907,Trinidad and Tobago,NORTH AMERICA
